Rating,Review,Comments
5,Excellent,good  quality and good battery backup  overall very good product I am happy with this productREAD MORE
5,Super!,good product. comfortable easy to use . amazing long  losting battaryREAD MORE
4,Really Nice,Nice product..... Excellent build quality ... Good performance...I like it very much..... ???READ MORE
5,Brilliant,It is the best trimmer within the price range and also it works perfectly. Battery is also good and works for about 1 hour when fully charged.READ MORE
4,Wonderful,As usual the Move product was good but don't expect any high expectations on this the product will be good for its price. Flip kart packing nd delivering was goodREAD MORE
5,Terrific,Very good trimmer.. Does its job perfectly.. I have used it for hair trimming also.. But it slightly leaves stubble on the beard. Can't be used of you want a clear shave for your office need. The height adjustment combs given are very hard initially and i have even injured my finger while changing them.. 😜 Overall best trimmer at the best price..READ MORE
4,Wonderful,Very nice trimmer from Nova.I have been using Nova brand trimmers from past 5 years but I will suggest this trimmer as value for money as well very useful.The blades are sharp and nice.I cuts smoothly.Go for it👍READ MORE
5,Simply awesome,super duper se bi uper I am so happy very comfortable trimmer best quality 👌😍😍😘READ MORE
4,Really Nice,"It noises a quite but its okk.I still can't understand the charging process of this trimmer.I doesn't shows fully charged, whenever I plug it into charger it starts charging, but no end ..so there is a problem..Overall if I talk about the design it's pretty good looking.In short i can say that it is perfect for me...👍👍👍READ MORE"
5,Highly recommended,love it love it love it... highly recommendedREAD MORE
5,Simply awesome,Nice Product iN this Price Range Writing Review A After Receiving The Product Nice Build And Easy handling. (Use Carefully blades are sharp and if you hold it for long on a single place you can get cuts if you have soft skin)READ MORE
5,Perfect product!,"super tiny, great grip, looks premium! works like charm! Attachments are of high-grade plastic and finish! must buy!!READ MORE"
5,Terrific purchase,Soo good product.. i am using it from last 10 months still it is work like a new. I m giving full marks to it. I Highly recommended to bye it.READ MORE
4,Value-for-money,It's pretty good easy to use Best trimmer in this price range ..READ MORE
5,Classy product,"best trimmer at this price range.. premium look, good battery life, easy to use, pocket friendlyREAD MORE"
4,Value-for-money,Good & superb colour and price is very less than others click is also good one I like itREAD MORE
5,Great product,superb Amazing Product Very Well Yaar Really It's My Personal Experience I Use This Product Every Week His Work Smoothly Are It's Charging Capacity Are So Good YaarREAD MORE
4,Nice product,I bought this in July 2019 and I've used this twice or thrice. its working fine. nice cutting edge and convenient charging. Good Product.READ MORE
5,Must buy!,flipkart officials are very polite and helpful and product was great and reliable ..thanks flipkart 🙏🙏READ MORE
5,Best in the market!,"Great product. I was looking for a good basic trimmer for my son and it fit the bill perfectly. A salient feature of the trimmer is that it charges with  usb instead of a charger, which helps to make it usable even in those countries which use differ voltage range( ex. USA uses 110 v vs 220 v used in India). Highly recommendedREAD MORE"
4,Wonderful,No good it's best thanks youBut not silent speaker this product  I am not happy next be carefulREAD MORE
5,Super!,Working very well and in good condition ..if full charged then it will run long ... the blades are fine tooREAD MORE
5,Super!,I like this but I want few days for using after then I give a review and author wise it's very good specially price is very less . keept upREAD MORE
4,Value-for-money,really awesome and great build qualit. it runs smoothly and less noisey .good looking and proper grip. it can trimmed your hairs in five sizes .5 mm 3mm 6mm 9mm 12 mmREAD MORE
4,Value-for-money,nice product... good battery life..  easy to use and smoothREAD MORE
4,Very Good,wow very nice i liked super performanceREAD MORE
4,Good choice,Good product. I think hair trimmer is the best name for the product. Not good for beard or mustache trimming. But it is up to the price. Good quality and look. Nicely designed with 4 different sized blades in the packetREAD MORE
5,Awesome,"The product I received is of top quality and it works perfectly fine, recommend buy to anyone looking for this kind of trimmer in this price range, also it produces less noise during operationREAD MORE"
3,Just okay,It ok with this prce range.READ MORE
4,Pretty good,Very good Product & Battery Backup is good. 👍READ MORE
5,Classy product,this good product. 😘😘😘 thanks for FlipkartREAD MORE
5,Brilliant,it's an very cool and good productREAD MORE
4,Really Nice,Not bad. But charging indicate light doesn't show full charge so you can not understand it's completely 100% charge or not.Good for haircut and bread. Cut maximum up to 0.5 mm.Skin safetyREAD MORE
5,Worth every penny,Best trimmer at this price....??READ MORE
4,Good choice,Excellent product from NOVA😍READ MORE
5,Great product,best productREAD MORE
4,Very Good,Decent device by NoVa.. b lovd it. but the PaCking  was disppointed. Delivery boy negativetyREAD MORE
4,Really Nice,"Writing my review after using it around 9 MONTHS (still working fine)Pros: °Excellent piece in this price range.° Trim quality is also good.°Battery is good, you can use around 40 -50 minutes after charging full.Cons:(reason for deducting one star)°Full charging time is quite high; around 6 hours.°The front steel plate is loosed a little after 7 months.READ MORE"
5,Super!,Good product☺READ MORE
5,Best in the market!,Awesome...READ MORE
4,Very poor,Don't dare to buy this... Pathetic battery life. It will work good for initial 5-6 days. After that battery life lasts hardly 1 or 2 minutes after 10 hours of charge. You would have to charge it again for 6-7 hours to complete ur trim. Dnt have the option bt 0 from my side.READ MORE
5,Good quality product,Good Quality 👍READ MORE
4,Awesome,Super quality product 👌😍😍😍READ MORE
3,Good quality product,Better than I thought..thanks u very muchREAD MORE
5,Does the job,I bought the trimmer based on reviews but reviews doesn't justify the product performance. Build is good but the main purpose which is trimming is not good. Precision is very bad. If using directly without any cover with size then it's ok but for beard it's not good. It's just ok ok. If beard is main priority then you can skip this.READ MORE
5,Just wow!,Nice productREAD MORE
4,Mind-blowing purchase,New look trimmer and its battery capacity is assumes and blade are too soft. Battery backup is very nice.READ MORE
3,Very Good,NICE PRODUCT FROM NOVA DESIGN IS GOODLIGHT WEIGHTBATTERY BACKUP GOODLOOKS GOODBUT.....PRICIOUS NOT SATISFIED Me.READ MORE
4,Good,Nothing bad it's okREAD MORE
5,Value-for-money,I am happy Tq filpcard.....2goodREAD MORE
5,Wonderful,Good productREAD MORE
4,Mind-blowing purchase,Nice productREAD MORE
3,Good choice,Good ProductREAD MORE
5,Nice,Not good but not badValue of money It have less time of charageREAD MORE
4,Perfect product!,Best hai but battery life normalREAD MORE
5,Nice product,Nice😍READ MORE
5,Perfect product!,Nice product battery is goodREAD MORE
5,Classy product,It's awesome product very flipkart thank u❤❤READ MORE
3,Simply awesome,Good quality ... But hair is fall in .... Be carefull very sharp Nic product and look alsoREAD MORE
5,Fair,Nice got Rs 449.READ MORE
3,Highly recommended,Its working very niceREAD MORE
4,Nice,Nice but size measurements is not goodREAD MORE
3,Pretty good,niceREAD MORE
4,Decent product,Delivered two day before from expected date.Looks quite cool with satisfying performance.READ MORE
4,Good quality product,Good quality 👌👌👍👍😊 productREAD MORE
3,Really Nice,Ok.. Nice Hair Trimmer...READ MORE
4,Decent product,Not bad not good 50-50READ MORE
5,Pretty good,Best product.I love it.READ MORE
5,Must buy!,The product is very good but there is a big problem when it comes to deraching the attachments. It needs too much strength to detach the blades and the blades are made if plastic so it may get damged on deatching the blades too quickly.READ MORE
5,Could be way better,NOT BADREAD MORE
5,Great product,best product best price 😎😎😎😎    thanks Flipkart 😋😋😋😋READ MORE
4,Just wow!,Nice Trimmer This Prise RangeREAD MORE
3,Classy product,excellentREAD MORE
4,Good quality product,"Trimmer is good but one issue found, when i charge this trimmer and use and remaining battery is store for next day but on next day battery is zero, and this trimmer is not smoothly working.READ MORE"
4,Absolute rubbish!,Problems in this product very badREAD MORE
4,2nd bad experience from Flipkart product,"The usb charging status light shows charging  but it doesn't power on even after charging till 15 hours. They don't provide pouch to carry the trimmer when you travel.I know it is mentioned ""No returns applicable"", my trimmer is not working at all.  Flipkart should give replacement immediately.READ MORE"
5,Fair,Not very goodREAD MORE
4,Worst experience ever!,Not goodREAD MORE
5,Worst experience ever!,I'm not happy with this product because the charging time is disappointed me very bad product don't by this I'm not suggesting to buy anyoneREAD MORE
4,Really Nice,GoodREAD MORE
5,Wonderful,good quality nice productREAD MORE
5,Worth the money,Nice product...but packing is very badREAD MORE
5,Perfect product!,ExcellentREAD MORE
5,Good quality product,It is very sketchy. Our long time arms keeps chargingREAD MORE
5,Horrible,After using one week vibrant is more and sound is alsoREAD MORE
5,Unsatisfactory,Not as per expectation.READ MORE
5,Excellent,Flipkart product very nice productREAD MORE
5,Value-for-money,This product looking is very nice I'm very happy 🤗buy this product but I don't know that when will be dead and I'll want to say that this is not more expensive and whoever had bringing this product that person was very humble.READ MORE
5,Awesome,Nice productREAD MORE
5,Worth every penny,Nice👍product😊READ MORE
3,Excellent,Excellent product enough for hair cutting tooREAD MORE
4,Simply awesome,Quality super..READ MORE
4,Terrific purchase,This is Amazing product😍😍🔥 And Value For Money🤟🙂 I really Love This Product🤩🤩🤩READ MORE
3,Classy product,Nice trimmerREAD MORE
5,Slightly disappointed,Worst product not working properly after 5 monthsREAD MORE
5,Classy product,Very good condition nice productREAD MORE
4,Great product,Quality product at good price. You should go for it...thanks flipkart...READ MORE
4,Simply awesome,Working well... having no troubles.. price worthyREAD MORE
5,Great product,It is very nice product battery backup is goodREAD MORE
5,Does the job,I am giving only 3 starREAD MORE
5,Wonderful,Nice product at this price range... OkayREAD MORE
5,Delightful,Nice productREAD MORE
4,Nice,just go for brite or kime brands in this price range this product is not skin friendly and blades are not installed properly due to this one side blade damage your skin and another side just pull your hairREAD MORE
5,Wonderful,Nice Good QualityREAD MORE
4,Highly recommended,AmazingREAD MORE
5,Nice product,"After 4 months, the product is good and durability is also good. Worth product.. thankyou novaREAD MORE"
5,Good quality product,good product i like itREAD MORE
5,Terrific,nice one nice design from novaa ????READ MORE
5,Simply awesome,Super DesignREAD MORE
5,Terrific purchase,Battery backup is awesomeREAD MORE
5,Fabulous!,fantastic product sushantmanerREAD MORE
3,Delightful,GODREAD MORE
3,Classy product,amazing product 💯💯READ MORE
5,Nice product,nice productgood qualityREAD MORE
5,Terrific,I ordered this product for my farther and he loved it 😍😍😍😍❤❤❤❤❤💞💞💞💕💕💞💞💓💓❣💓💕💓💕💓💕💕💖💛💖❤💖❤💖💕💕💕☪💞💗💞💗💞💗💞💖💞💖💞💕💘💕💘💘💘💘💘💕💘💛💘💕💘💕💘💘💕💘💕💘Thank you flipkart ❤❤❤💕💞💓💓💝💓💝💓💝💓💓💝💓💝💓💓I Love you flipkart now you are my only one crush if my review is best shown it first 😊😊😊☺☺☺☺🤗🤗🤗🤗🤗🤗💞💞❣💞❣💕💟💝💝💟💟💝💝💟💟❤💟❤💟❤💟❤💟READ MORE
4,Awesome,superb trimmer...that's a nice choice....READ MORE
5,Must buy!,awesome.....nice i will recommend all to buy it and thanks to Flipkart...READ MORE
5,Very poor,Worst battery backupREAD MORE
5,Highly recommended,Superb good battery backup with good performanceREAD MORE
4,Don't waste your money,This is very bad product his battery life is very badREAD MORE
3,Best in the market!,FantasticREAD MORE
4,Could be way better,Good product but bllade is no better ...and price jiyada heREAD MORE
5,Expected a better product,performance not good and full charge display not showingREAD MORE
5,Simply awesome,Surprisingly smooth and precise. 👌READ MORE
4,Decent product,i don't get pouch.ruff steelI got a bad experience by Flipkart.product is ok . quality is okits a update version productREAD MORE
5,Moderate,Very bad quality after 1 month not working power onREAD MORE
4,Horrible,"blade is not good, working not smoothlyREAD MORE"
4,Does the job,it's catching my skin in first used ok valuable for money .Last five years ah using wired trimmer that not catch my skin still nowREAD MORE
5,Terrible product,very very bad product missing data cableand not working other charging cable very very bad productREAD MORE
4,Horrible,not satisfiedREAD MORE
5,Great product,simply superbREAD MORE
5,Best in the market!,Amazing product using it from 2 yearsREAD MORE
3,Not recommended at all,I had purchased this product after seeing comments. But the product stopped working immediately after two use. Now no option for return n replace. I suggest not to purchase this stupid productREAD MORE
4,Nice product,SuberREAD MORE
5,Utterly Disappointed,It's very dad.READ MORE
4,Excellent,Good productREAD MORE
5,Great product,Awesome happyREAD MORE
5,Moderate,WasteREAD MORE
4,Great product,SuberbREAD MORE
5,Very Good,Everything z good... Bt should provide no1&2 hair cutting set with trimmer... Can't cut small size by these big size setsREAD MORE
4,Just okay,Best productsREAD MORE
4,Pretty good,"I am using this product last 2 weeks, Model design is good. Skin friendly. Battery backup is good.READ MORE"
5,Terrific,Very nice productREAD MORE
4,Great product,AwesomeREAD MORE
5,Delightful,Very nice productREAD MORE
4,Great product,Nice oneREAD MORE
3,Really Nice,Value for money..READ MORE
5,Delightful,GoodREAD MORE
3,Awesome,I used from 7 months it's best best product and also value for money ......Still it's a new one comfortableREAD MORE
5,Really Nice,OkREAD MORE
5,Perfect product!,Best qualityREAD MORE
5,Brilliant,Excellent trimmer. I like it. Thank you Flipkart and Ekart delivery boyREAD MORE
4,Decent product,GoodREAD MORE
4,Really Nice,Best👌READ MORE
4,Brilliant,Very nice for meREAD MORE
4,Not recommended at all,I had purchased this product after seeing comments. But the product stopped working immediately after two use. Now no option for return n replace. I suggest not to purchase this stupid productREAD MORE
3,Nice product,SuberREAD MORE
5,Excellent,Good productREAD MORE
5,Moderate,WasteREAD MORE
4,Great product,SuberbREAD MORE
5,Value-for-money,"Design & tools are totally nice,but product quality are bad,battery backup poor,service are more bad....READ MORE"
5,Great product,AwesomeREAD MORE
5,Delightful,Very nice productREAD MORE
4,Delightful,GoodREAD MORE
5,Mind-blowing purchase,Good itemREAD MORE
4,Very poor,This is one of shittyy product I have ever seen not working properly and after one month its suddenly stop working and this product wary is just a myth no one gonna listen to youREAD MORE
5,Nice product,Good productREAD MORE
5,Great product,Awesome product 💟💟💟😘😘😘😘🤗🤗🤗READ MORE
5,Value-for-money,Good product as per priceREAD MORE
5,Just okay,This product is good and value for moneyREAD MORE
5,Excellent,SuperREAD MORE
5,Decent product,Low duralibityREAD MORE
3,Simply awesome,NycREAD MORE
3,Best in the market!,Good productREAD MORE
4,Expected a better product,Barack down one by oneREAD MORE
4,Excellent,Good productREAD MORE
5,Nice product,Very goodREAD MORE
4,Wonderful,Nice productREAD MORE
5,Delightful,okREAD MORE
5,Worth the money,GoodREAD MORE
4,Does the job,Nice product on affordable priceREAD MORE
4,Just wow!,Very good budget trimmer .Thanks flipkart for quick delivery.READ MORE
4,Perfect product!,Very good product thanks to FlipkartREAD MORE
4,Pretty good,This trimmer is good and fills my requirements though the power of trimmer is not so good it takes long time to shave your beardREAD MORE
4,Wonderful,Nice 👌👌👌👌👌👌READ MORE
4,Fabulous!,NiceREAD MORE
5,Simply awesome,GoodREAD MORE
5,Delightful,Good product in this price range and works better Nova makes good productREAD MORE
5,Bad quality,Fitting assembly is problematicREAD MORE
5,Fabulous!,NiceREAD MORE
5,Delightful,Good product in this price range and works better Nova makes good productREAD MORE
4,Bad quality,Fitting assembly is problematicREAD MORE
5,Awesome,Very niceREAD MORE
4,Great product,Amazing ..READ MORE
5,Don't waste your money,Wast moneyREAD MORE
4,Super!,Excellent purchase thanks FlipkartREAD MORE
5,Terrific,Realy good productREAD MORE
4,Classy product,Very nice productREAD MORE
5,Terrific purchase,Very googREAD MORE
5,Good,GoodREAD MORE
